,Title,Occupation,Company,Company Location,Specs,Link
201,Senior Financial Accountant,"['Full Time', 'On-site']",Polaris mining L.L.C ,"New Cairo, Cairo, Egypt ",Experienced · 7 - 10 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · Finance · accountant · Financial Management · Financial Analysis,https://wuzzuf.net/jobs/p/NRPmC5fqffBP-Senior-Financial-Accountant-Polaris-mining-L-L-C-Cairo-Egypt
202,Accountant,"['Full Time', 'On-site']",Hany Alshaikh accountant ,"Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · accountant · Finance · Accounting · Financial Analysis · Financial Management · Accounting Software · CMA · CPA · excel,https://wuzzuf.net/jobs/p/W1f45uTJzJeH-Accountant-Hany-Alshaikh-accountant-Giza-Egypt
203,Senior Cost Accountant,"['Full Time', 'On-site']",Kandil Glass ,"10th of Ramadan City, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · Accounting/Finance · Analyst/Research · Business Analysis · Finance Analysis · Accounting · Cost Accounting · Cost Analysis · Cost · Finance · analytical,https://wuzzuf.net/jobs/p/t5JfYqz6689p-Senior-Cost-Accountant-Kandil-Glass-Cairo-Egypt
204,Group Internal Audit Manager,"['Full Time', 'On-site']",Egyptian Company for Cosmetics ,"Nasr City, Cairo, Egypt ",Senior Management · 8 - 10 Yrs of Exp · Accounting/Finance · Operations/Management · Quality · Auditing · Audit · Accounting · business · Compliance · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/dRFQPj0AaIwG-Group-Internal-Audit-Manager-Egyptian-Company-for-Cosmetics-Cairo-Egypt
205,Quality Assurance Specialist,"['Full Time', 'On-site']",Confidential ,"6th of October, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · R&D/Science · Manufacturing/Production · Quality · Quality Assurance · quality · Analysis · Communication skills · QA · MS Office · regulatory,https://wuzzuf.net/jobs/p/4WzNysIB2P7t-Quality-Assurance-Specialist-Giza-Egypt
206,Marketing Specialist,"['Full Time', 'On-site']",Confidential ,"New Cairo, Cairo, Egypt ",Entry Level · 0 - 3 Yrs of Exp · females_only · Marketing/PR/Advertising · Communication · E-Marketing · Marketing · Research · Lead Generation · Content · Analysis · Market Research · ROI,https://wuzzuf.net/jobs/p/paBxYfA6kHyT-Marketing-Specialist-Cairo-Egypt
207,Senior Technical Offer and Quotation Officer,"['Full Time', 'On-site']",Luminary for Marketing and Advertisement  ,"Sheraton, Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · Logistics/Supply Chain · Purchasing/Procurement · Engineering - Mechanical/Electrical · Audit · Data Analysis · QC · Procurement · Request For Quotation · Submittals · Odoo ERP,https://wuzzuf.net/jobs/p/y3SOjv1dOvgE-Senior-Technical-Offer-and-Quotation-Officer-Luminary-for-Marketing-and-Advertisement-Cairo-Egypt
208,Accountant,"['Full Time', 'On-site']",BL Fashion and Personal Supplies  ,"New Cairo, Cairo, Egypt ",Experienced · 3 - 10 Yrs of Exp · females_only · Accounting/Finance · Accounting · Accounting Software · excel · Finance · Financial Analysis · Financial Management · General Ledger,https://wuzzuf.net/jobs/p/VLk87n3nuNRH-Accountant-BL-Fashion-and-Personal-Supplies-Cairo-Egypt
209,Financial Accountant,"['Full Time', 'On-site']",Confidential ,"Bab Sharq, Alexandria, Egypt ",Experienced · 3+ Yrs of Exp · Accounting/Finance · Accounting · Financial Accountant · Financial Management · Accounts · Analysis · Accounting Software · Financial · Financial Reporting · CPA,https://wuzzuf.net/jobs/p/kGoBq3QZsIi2-Financial-Accountant-Alexandria-Egypt
210,Accounting Manager,"['Full Time', 'On-site']",Happy Vision ,"Mohandessin, Giza, Egypt ",Manager · 5+ Yrs of Exp · Accounting/Finance · Accounting · CMA · Accounting Software · Finance · Financial Analysis · Financial Management · IFRS · GAAP · Microsoft Office,https://wuzzuf.net/jobs/p/1gzxDQBi6zLy-Accounting-Manager-Happy-Vision-Giza-Egypt
211,Senior ETL Developer,"['Full Time', 'Hybrid']",BBI-Consultancy ,"Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Data · Engineering · Computer Engineering · Database · Informatica PowerCenter · Informatica ETL · SQL · ETL,https://wuzzuf.net/jobs/p/fdvA16qMAWVp-Senior-ETL-Developer-BBI-Consultancy-Cairo-Egypt
212,Accounting Manager,"['Full Time', 'On-site']",Twelve for financial and administrative services ,"Mohandessin, Giza, Egypt ",Manager · 8 - 15 Yrs of Exp · Accounting/Finance · Retail · Fashion · Finance · Accounting · Financial Analysis,https://wuzzuf.net/jobs/p/FfZaWVme34S6-Accounting-Manager-Twelve-for-financial-and-administrative-services-Giza-Egypt
213,Senior Tax Accountant,"['Full Time', 'On-site']",Confidential ,"15th May City, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · males_only · Accounting/Finance · accountant · Accounting · Accounting Software · Bookkeeping · excel · Finance · Financial Management · Tax · tax accountant,https://wuzzuf.net/jobs/p/yOVa3dUZVBLc-Senior-Tax-Accountant-Cairo-Egypt
214,Data Analyst,['Full Time'],A.P. Moller - Maersk ,"Makkah, Saudi Arabia ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,https://wuzzuf.net/jobs/p/g/g7luakLC0L4M-Data-Analyst-A-P-Moller---Maersk-Makkah-Saudi-Arabia
215,Commercial Admin Assistant,"['Full Time', 'On-site']",QARA ,"New Cairo, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Administration · Microsoft Excel · dashboard · Analysis · Reporting · Management · Microsoft Office,https://wuzzuf.net/jobs/p/Xa89UyuRTWRL-Commercial-Admin-Assistant-QARA-Cairo-Egypt
216,Marketing Automation Specialist,"['Full Time', 'On-site']",Mantrac ,"Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · E-Marketing · Marketing · Social Media · media · B2B · CRM · Google Analytics · SEO,https://wuzzuf.net/jobs/p/M2ILy9mD6nFA-Marketing-Automation-Specialist-Mantrac-Cairo-Egypt
217,Accountant,"['Full Time', 'On-site']",El Rwad Group ,"Agami, Alexandria, Egypt ",Experienced · 2 - 3 Yrs of Exp · Accounting/Finance · Accounting · Human Resources (HR) · Communication skills · Accounting Software · English · ERP · Finance · Financial Analysis · Financial,https://wuzzuf.net/jobs/p/iGhpzaPqfQ79-Accountant-El-Rwad-Group-Alexandria-Egypt
218,Urgent Hiring for Data Analyst,['Full Time'],PRIME IMMIGRATION LTD ,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · information technology (it) · computer science · finance · erp · analysis · engineering · data analysis,https://wuzzuf.net/jobs/p/g/OB1MpyjkTFwB-Urgent-Hiring-for-Data-Analyst-PRIME-IMMIGRATION-LTD-Riyadh-Saudi-Arabia
219,Financial Data Analyst,['Part Time'],DHL Global Forwarding ,"Dubai, United Arab Emirates ",Student · Accounting/Finance · IT/Software Development · Analyst/Research · Finance · Analysis · Financial Analysis · Accounting · Data Analysis · Microsoft Office · Computer Science,https://wuzzuf.net/jobs/p/g/yNzJO2EFyp6N-Financial-Data-Analyst-DHL-Global-Forwarding-Dubai-United-Arab-Emirates
220,Data Analyst,['Part Time'],Almarai - المراعي ,"Riyadh, Saudi Arabia ",Not specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,https://wuzzuf.net/jobs/p/g/7NgIiHbHlh7m-Data-Analyst-Almarai---المراعي-Riyadh-Saudi-Arabia
221,Technical Analyst,"['Full Time', 'On-site']",BTC-Egypt Gold ,"Heliopolis, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Analyst/Research · Analysis · analytical · Finance · Forex · technical · Technical Analysis,https://wuzzuf.net/jobs/p/7LhoEaCaW1D6-Technical-Analyst-BTC-Egypt-Gold-Cairo-Egypt
222,Financial Accountant,"['Full Time', 'On-site']",TLA FOR TRADING AND DISTRIBUTION  ,"Gomrok, Alexandria, Egypt ",Manager · 3 - 5 Yrs of Exp · Accounting/Finance · Odoo System · Accounting · Taxes · Financial Management · Financial Analysis · Finance · excel,https://wuzzuf.net/jobs/p/lKaHbGPYWcUI-Financial-Accountant-TLA-FOR-TRADING-AND-DISTRIBUTION-Alexandria-Egypt
223,Accountant,"['Full Time', 'On-site']",Al Ahly capital holding - Al Ahly Tamkeen ,"Zamalek, Cairo, Egypt ",Entry Level · 0 - 2 Yrs of Exp · Accounting/Finance · Banking · Accounting · Finance · Financial Analysis · Financial Management · General Ledger,https://wuzzuf.net/jobs/p/F0fw1byJIrUj-Accountant-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt
224,FP&A Supervisor,"['Full Time', 'Hybrid']",Aman ,"Maadi, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis · Financial Planning · Financial Management,https://wuzzuf.net/jobs/p/FJxFarQBrVyT-FPA-Supervisor-Aman-Cairo-Egypt
225,General Accountant,"['Full Time', 'On-site']",Al-Khail Industries & Trading  ,"6th of October, Giza, Egypt ",Experienced · 5+ Yrs of Exp · males_preferred · Accounting/Finance · Banking · Accounting Software · Accounting · ERP · excel · Financial Analysis · Financial Management · General Ledger · MS Excel,https://wuzzuf.net/jobs/p/aFFDAascnCtc-General-Accountant-Al-Khail-Industries-Trading-Giza-Egypt
226,Tax Manager,"['Full Time', 'On-site']",Confidential ,"Maadi, Cairo, Egypt ",Manager · 8 - 15 Yrs of Exp · Accounting/Finance · Accounting · Tax · Software · Financial Analysis,https://wuzzuf.net/jobs/p/vTfKHU0LpDmr-Tax-Manager-Cairo-Egypt
227,Cost Accountant,"['Full Time', 'On-site']",International Food & Consumable Goods - Egypt S.A.E ,"6th of October, Giza, Egypt ",Experienced · 4 - 6 Yrs of Exp · males_only · Accounting/Finance · Analyst/Research · FMCG · Cost Accounting · Finance · ERP · Cost Control · Cost · Project Cost Control · Cost Management,https://wuzzuf.net/jobs/p/44MibZsf2Tsa-Cost-Accountant-International-Food-Consumable-Goods---Egypt-S-A-E-Giza-Egypt
228,Financial Controller,"['Full Time', 'On-site']",Confidential ,"Helwan, Cairo, Egypt ",Manager · 10 - 15 Yrs of Exp · males_only · Accounting/Finance · Accounting · Analysis · CMA · Finance · Financial Analysis · Leadership · Oracle · Planning · Financial Management,https://wuzzuf.net/jobs/p/7xs2y7tTyKnp-Financial-Controller-Cairo-Egypt
229,Research And Development Pharmacist,"['Full Time', 'On-site']",MedicZone ,"New Cairo, Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · R&D/Science · Analyst/Research · Pharmaceutical · Business Development · Communication skills · Data Analysis · Pharmaceutical · Pharmacy · Analysis · Communication,https://wuzzuf.net/jobs/p/TPd6D576OO1q-Research-And-Development-Pharmacist-MedicZone-Cairo-Egypt
230,Accounting Internship.,"['Internship', 'On-site']",Allianz ,"New Cairo, Cairo, Egypt ",Entry Level · 0 - 1 Yrs of Exp · Accounting/Finance · Accounting · Financial Analysis · drafting · inserting data · accountant,https://wuzzuf.net/internship/djIhOV5p86WX-Accounting-Internship-Allianz-Cairo-Egypt
231,accountant,"['Full Time', 'On-site']",Egyptian Danish ,"6th of October, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Administration · Accounting · excel · Finance · CPA · CMA · Financial Analysis · MS Excel,https://wuzzuf.net/jobs/p/l8VgvH4iguu2-accountant-Egyptian-Danish-Giza-Egypt
232,Cost Accountant,"['Full Time', 'On-site']",Confidential ,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Cost Accounting · Accounting · Finance · Manufacturing · accountant · Accounting Software · analytical · Cost Accountant · Cost,https://wuzzuf.net/jobs/p/q0zNf6PVf1ek-Cost-Accountant-Sharqia-Egypt
233,Accounting Manager,"['Full Time', 'On-site']",Confidential ,"Nasr City, Cairo, Egypt ",Manager · 15 - 20 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis · Financial Accounting · Transactions · Financial Management · Financial Reports · Financial · accounting data,https://wuzzuf.net/jobs/p/8B0QIlgfgsCs-Accounting-Manager-Cairo-Egypt
234,General Accountant,"['Full Time', 'On-site']",Al-Bostany Group ,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Accounting Software · CMA · CPA · excel · Finance · Financial Analysis · Financial Management · GAAP,https://wuzzuf.net/jobs/p/JARE7yEAi6Gq-General-Accountant-Al-Bostany-Group-Cairo-Egypt
235,Data Analyst (0 Experience Required),['Freelance / Project'],Peroptyx ,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · SQL · Microsoft Office · Microsoft Excel,https://wuzzuf.net/jobs/p/g/eXLzqJ1PyB0E-Data-Analyst-0-Experience-Required-Peroptyx-Riyadh-Saudi-Arabia
236,Patient Safety Specialist,"['Full Time', 'On-site']",MEAHCO - Saudi German Health ,"Maadi, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · Quality · Risk Management · quality · Healthcare · Management · Analysis · Safety,https://wuzzuf.net/jobs/p/1TQxvrW5hB46-Patient-Safety-Specialist-MEAHCO---Saudi-German-Health-Cairo-Egypt
237,Internal Auditor,"['Full Time', 'On-site']",Titan Cement Egypt  ,"Sheraton, Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · Accounting/Finance · Analyst/Research · analytical · Audit · Auditing · CIA · SAP · Internal audit · Financial Analysis · Microsoft Office,https://wuzzuf.net/jobs/p/FmfJdeVN2Spy-Internal-Auditor-Titan-Cement-Egypt-Cairo-Egypt
238,Admin – Data Entry,['Full Time'],Al Haktur IT Solutions ,"Dubai, United Arab Emirates ",Entry Level · Administration · Customer Service/Support · Writing/Editorial · Data Entry · Administration · Microsoft Office · Admin · Customer Service · Microsoft Excel · Typing,https://wuzzuf.net/jobs/p/g/i2WCISAkpM33-Admin-–-Data-Entry-Al-Haktur-IT-Solutions-Dubai-United-Arab-Emirates
239,Internal Audit Senior Manager,"['Full Time', 'On-site']",SAVOLA ,"Nasr City, Cairo, Egypt ",Manager · 10 - 12 Yrs of Exp · Accounting/Finance · CA · Accounting · Finance · Internal Audit · Auditing · FMCG · Business Administration · Commerce · CPA,https://wuzzuf.net/jobs/p/LHTnOTn8GdMs-Internal-Audit-Senior-Manager-SAVOLA-Cairo-Egypt
240,Payable & Receivable Accountant,"['Full Time', 'On-site']",Egyptian Engineering Industries   ,"Abu Rawash, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · Accounting/Finance · Banking · Accounting · ERP · excel · Finance · Financial Analysis · accountant · Accounts Payable · MS Office,https://wuzzuf.net/jobs/p/hWWaYiiCdm0Z-Payable-Receivable-Accountant-Egyptian-Engineering-Industries-Giza-Egypt
241,IT Manager,"['Full Time', 'On-site']",Confidential ,"Nasr City, Cairo, Egypt ",Manager · 15 - 20 Yrs of Exp · IT/Software Development · Odoo · IT · ERP · Project Management · Computer Engineering · Networks · IT Infrastructure · Data Security · Firewalls,https://wuzzuf.net/jobs/p/Pj3JjXifPnY2-IT-Manager-Cairo-Egypt
242,Field Research Consultant,"['Part Time', 'Hybrid']",Abt Associates ,"Dokki, Giza, Egypt ",Experienced · 10+ Yrs of Exp · Writing/Editorial · Strategy/Consulting · Market Research · Data Collection · USAID projects · Fluent English · Master Professional Reporting · Agriculture · Agibusiness,https://wuzzuf.net/jobs/p/I36hJFWfeITS-Field-Research-Consultant-Abt-Associates-Giza-Egypt
243,Data Analyst/Market Researcher,['Full Time'],StriveNest ,"Riyadh, Saudi Arabia ",Entry Level · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · Market Research · Marketing · Analysis · Research · Data Analysis · Business Administration · Business,https://wuzzuf.net/jobs/p/g/E6nBKjbpABF7-Data-AnalystMarket-Researcher-StriveNest-Riyadh-Saudi-Arabia
244,Site Accountant,"['Full Time', 'On-site']",Winners Developer ,"Glim, Alexandria, Egypt ",Experienced · 5 - 10 Yrs of Exp · Accounting/Finance · Administration · accountant · Accounting · Construction · Finance · ERP · SITE ACCOUNTANT · Site · Microsoft Excel,https://wuzzuf.net/jobs/p/ZgZbQNsQXAhy-Site-Accountant-Winners-Developer-Alexandria-Egypt
245,Senior Internal Auditor,"['Full Time', 'On-site']",Jazeera Paints ,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 5+ Yrs of Exp · Accounting/Finance · Finance · Accounting · Auditing · auditor · SAP · Internal auditor · Internal auditing · Financial Management · Financial Analysis,https://wuzzuf.net/jobs/p/JNEM6b6A3yWd-Senior-Internal-Auditor-Jazeera-Paints-Sharqia-Egypt
246,Senior software business analyst,"['Full Time', 'On-site']",SURE International Technology ,"Nasr City, Cairo, Egypt ",Experienced · 2 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Business Analysis · Communication skills · SQL · Software Development · Computer Science · business · Technical Writing,https://wuzzuf.net/jobs/p/1K7MAAafwixQ-Senior-software-business-analyst-SURE-International-Technology-Cairo-Egypt
247,Market Research Analyst,"['Full Time', 'On-site']",Lasirena Group ,"Maadi, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Analysis · Data Analysis · E-Marketing · Research · Real Estate · Marketing · Market Research,https://wuzzuf.net/jobs/p/rGNhrM9VM6bH-Market-Research-Analyst-Lasirena-Group-Cairo-Egypt
248,Group Marketing Manager - Retail/FMCG,"['Full Time', 'On-site']",Exception Patisserie ,"6th of October, Giza, Egypt ",Manager · 7 - 15 Yrs of Exp · Marketing/PR/Advertising · Marketing · Market Research · Digital Marketing · Marketing Campaigns · FMCG · Social Media · Competitive Analysis · Promotions · Growth Hacking,https://wuzzuf.net/jobs/p/ue54bb7zHsbR-Group-Marketing-Manager---RetailFMCG-Exception-Patisserie-Giza-Egypt
249,Learning Operations Specialist,"['Full Time', 'Hybrid']",Sprints.ai ,"Maadi, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Customer Service/Support · Training/Instructor · Customer Care · Customer Service · Communication · English · Operations · Business Analytics · Analysis · Reporting Analysis,https://wuzzuf.net/jobs/p/Xg0QKrrIZnXu-Learning-Operations-Specialist-Sprints-ai-Cairo-Egypt
250,Junior Accountant,"['Full Time', 'On-site']",ariika ,"New Cairo, Cairo, Egypt ",Entry Level · 2 - 4 Yrs of Exp · males_only · Accounting/Finance · Accounting · Finance · Financial Reporting · Microsoft Office · MS Office · Odoo ERP · Financial Analysis · Financial,https://wuzzuf.net/jobs/p/gaUS4WG9gbam-Junior-Accountant-ariika-Cairo-Egypt
251,Data Scientist,['Full Time'],Matchable ,"Riyadh, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Data Scientist · Machine Learning,https://wuzzuf.net/jobs/p/g/SmixIONPX5et-Data-Scientist-Matchable-Riyadh-Saudi-Arabia
252,Junior Data Scientist (Remote),['Full Time'],Kreativstorm ,"Tabuk, Saudi Arabia ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Python · Information Technology (IT) · SQL · Data Science · Data Analysis · Java,https://wuzzuf.net/jobs/p/g/vTKLnZ3pWDNr-Junior-Data-Scientist-Remote-Kreativstorm-Tabuk-Saudi-Arabia
253,Accountant,"['Full Time', 'On-site']",Siera Light ,"New Cairo, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · excel · Finance · Financial Analysis · Financial Management · MS Office · GAAP · CPA · CMA,https://wuzzuf.net/jobs/p/zHcQiV0x5IKT-Accountant-Siera-Light-Cairo-Egypt
254,Laboratory Quality Control Specialist,"['Full Time', 'On-site']",El Negma Pasta Factory  ,"Shubra, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · Quality · Analysis · Microsoft Office · quality · Quality Control · Manufacturing · Testing,https://wuzzuf.net/jobs/p/LjCNvREMoUih-Laboratory-Quality-Control-Specialist-El-Negma-Pasta-Factory-Cairo-Egypt
255,Cost Accountant,"['Full Time', 'On-site']",Confidential ,"Alexandria, Egypt ",Experienced · 4 - 7 Yrs of Exp · Accounting/Finance · Accounting · accountant · Cost · analytical · Cost Accountant · Cost Accounting · Cost Analyst · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/JwKmuUbhtiu4-Cost-Accountant-Alexandria-Egypt
256,Senior Business Process Specialist,"['Full Time', 'On-site']",Nahdet Misr Publishing Group ,"Mohandessin, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · Business Development · business · Analysis · Business Administration · Business Analysis · Management · Communication · Project Management,https://wuzzuf.net/jobs/p/9CZfApYQqniY-Senior-Business-Process-Specialist-Nahdet-Misr-Publishing-Group-Giza-Egypt
257,Cost Accountant,"['Full Time', 'On-site']",Tarek Trade Furniture  ,"Obour City, Cairo, Egypt ",Experienced · 3 - 10 Yrs of Exp · Accounting/Finance · Cost · Cost Accounting · Accounting · Finance · GAAP · General Ledger · Manufacturing · Financial · Financial Analysis,https://wuzzuf.net/jobs/p/PyYnvIlQ8VLZ-Cost-Accountant-Tarek-Trade-Furniture-Cairo-Egypt
258,Accountant,"['Full Time', 'On-site']",Confidential ,"New Cairo, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · males_only · Accounting/Finance · Accounting · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/2HTmPWfv0ZOZ-Accountant-Cairo-Egypt
259,General Accountant,"['Full Time', 'On-site']",cairo housing and development ,"New Cairo, Cairo, Egypt ",Entry Level · 1 - 4 Yrs of Exp · Accounting/Finance · accountant · Finance · Accounting · Financial Management · Financial Analysis,https://wuzzuf.net/jobs/p/rYEw9MSuk13G-General-Accountant-cairo-housing-and-development-Cairo-Egypt
260,Accountant,"['Full Time', 'On-site']",Confidential ,"New Menia, Minya, Egypt ",Experienced · 3 - 5 Yrs of Exp · males_only · Accounting/Finance · Accounting · excel · Finance · MS Excel · Financial Management · General Ledger · GAAP · Financial Analysis · Accounting principles,https://wuzzuf.net/jobs/p/8zDPWEecFgf8-Accountant-Minya-Egypt
261,Corporate Financial Budget Controller / Planning & Analysis Manager,"['Full Time', 'On-site']",شركه طنطا موتورز ,"Nasr City, Cairo, Egypt ",Manager · 15 - 20 Yrs of Exp · Accounting/Finance · Accounting · Finance · Manufacturing · Financial,https://wuzzuf.net/jobs/p/JIAebrA7DjWy-Corporate-Financial-Budget-Controller-Planning-Analysis-Manager-شركه-طنطا-موتورز-Cairo-Egypt
262,Accounting Manager,"['Full Time', 'On-site']",Confidential ,"New Cairo, Cairo, Egypt ",Manager · 7 - 10 Yrs of Exp · Accounting/Finance · Accounting · Construction · Finance · Financial Analysis · Financial Management · Real Estate · Management · finance manager,https://wuzzuf.net/jobs/p/Q460yyNHP7KP-Accounting-Manager-Cairo-Egypt
263,Jr. Data Scientist,['Full Time'],DXC Technology ,"Dubai, United Arab Emirates ",Entry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · SQL · Data Science · Machine Learning · Data Scientist,https://wuzzuf.net/jobs/p/g/NLNDvRIHrDfL-Jr-Data-Scientist-DXC-Technology-Dubai-United-Arab-Emirates
264,Business Process Engineer,"['Full Time', 'On-site']",Kandil Glass  ,"10th of Ramadan City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Business Development · Engineering - Telecom/Technology · Analysis · business · Computer Science · ERP · Engineering · Project Management · Information Technology (IT) · Business Administration,https://wuzzuf.net/jobs/p/MsS4GFitfU1u-Business-Process-Engineer-Kandil-Glass-Cairo-Egypt
265,General Accountant,"['Full Time', 'Hybrid']",Confidential ,"Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · Financial Analysis · Payable Accounting · Accounts Receivable · Finance · Financial Management,https://wuzzuf.net/jobs/p/GlLmHS4ibrIh-General-Accountant-Cairo-Egypt
266,Specification Executive,"['Full Time', 'On-site']",Jotun Paints ,"Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · Business Development · Sales · Projects · Technical Sales · Technical Presentations · Communication · Technical Analysis,https://wuzzuf.net/jobs/p/dmHsMlQbfiOy-Specification-Executive-Jotun-Paints-Cairo-Egypt
267,Data Entry/Admin Support - Work From Home,['Full Time'],hiretowncity ,"Riyadh, Saudi Arabia ",Not specified · Administration · Customer Service/Support · Sales/Retail · Data Entry · Administration · Customer Support · Admin · Customer Care · Customer Service · Microsoft Office,https://wuzzuf.net/jobs/p/g/JKY7HZjFOZBw-Data-EntryAdmin-Support---Work-From-Home-hiretowncity-Riyadh-Saudi-Arabia
268,Quality Assurance Specialist,"['Full Time', 'On-site']",Mavens Consulting ,"Smart Village, Giza, Egypt ",Entry Level · 1+ Yrs of Exp · Customer Service/Support · Quality · QA · Quality Assurance · Communication skills · quality · Call Center · Quality Assurance Specialist · Experience · Monitoring,https://wuzzuf.net/jobs/p/J3p4MJGlc4G9-Quality-Assurance-Specialist-Mavens-Consulting-Giza-Egypt
269,Automotive Market Research Specialist,"['Full Time', 'On-site']",Confidential ,"New Cairo, Cairo, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · Analysis · business · Communication · Data Analysis · E-Marketing · Engineering · English,https://wuzzuf.net/jobs/p/nxOzdJ472q8S-Automotive-Market-Research-Specialist-Cairo-Egypt
270,Financial Planning Analyst,"['Full Time', 'On-site']",Mediterraneo Trading ,"New Cairo, Cairo, Egypt ",Entry Level · 2 - 4 Yrs of Exp · Accounting/Finance · ERP · CMA · Analysis · Finance · Financial Analysis · Financial Management · costing · Budgeting,https://wuzzuf.net/jobs/p/nYq6M1VAgfcs-Financial-Planning-Analyst-Mediterraneo-Trading-Cairo-Egypt
271,Accountant,"['Full Time', 'On-site']",Blue Nile Boat Maadi  ,"Maadi, Cairo, Egypt ",Experienced · 4 - 6 Yrs of Exp · Accounting/Finance · Administration · Accounting · Accounting Software · CMA · excel · Financial Management · Financial Analysis,https://wuzzuf.net/jobs/p/4XjKW22oviLX-Accountant-Blue-Nile-Boat-Maadi-Cairo-Egypt
272,Quality Assurance,"['Full Time', 'On-site']",BTC-Egypt Gold ,"Heliopolis, Cairo, Egypt ",Entry Level · 2 - 5 Yrs of Exp · Quality · Quality Assurance · Communication skills · quality · Data Collection · Communication,https://wuzzuf.net/jobs/p/gewZU6xn9wBs-Quality-Assurance-BTC-Egypt-Gold-Cairo-Egypt
273,Senior Accountant,"['Full Time', 'On-site']",Data Science ,"Hadayek October, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Administration · Accounting · Accounting Software · Data Entry · excel · Finance · Financial Management · Microsoft Excel · Financial Analysis,https://wuzzuf.net/jobs/p/Z5fs0wUYhXlO-Senior-Accountant-Data-Science-Giza-Egypt
274,Bookkeeper,"['Full Time', 'Remote']",TradeSapce ,"Calgary, Canada ",Experienced · 3+ Yrs of Exp · Accounting/Finance · Accounting · Bookkeeper · Bookkeeping · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/SmLyIDGcA5xh-Bookkeeper-TradeSapce-Calgary-Canada
