,Title,Occupation,Company,Company Location,Specs,Link
897,Electrical Site Engineer,"['Full Time', 'On-site']",FMPlus Property & Facility Management ,"Maadi, Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · Installation/Maintenance/Repair · Engineering - Mechanical/Electrical · Electrical · Electrical Engineering · Engineering,https://wuzzuf.net/jobs/p/OvaOFbX4C1BB-Electrical-Site-Engineer-FMPlus-Property-Facility-Management-Cairo-Egypt
898,Quality Assurance Head,"['Full Time', 'On-site']",Confidential ,"6th of October, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · Engineering - Construction/Civil/Architecture · Manufacturing/Production · Quality · Quality Assurance · QA,https://wuzzuf.net/jobs/p/OlmHG8e36W96-Quality-Assurance-Head-Giza-Egypt
899,Health and Safety Officer / Specialist,"['Full Time', 'On-site']",Egypt University of Informatics (EUI) ,"New Capital, Cairo, Egypt ","Experienced · 3 - 5 Yrs of Exp · Administration · Health, Safety and Environment · HSE · Health &amp; Safety · OSHA",https://wuzzuf.net/jobs/p/KQkn0FHBM4fR-Health-and-Safety-Officer-Specialist-Egypt-University-of-Informatics-EUI-Cairo-Egypt
900,Microsoft Dynamics AX/365 Finance and Project Accounting Consultant,"['Full Time', 'On-site']",Confidential ,"Jeddah, Saudi Arabia ",Experienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Ax · Dynamics AX · Finance · Accounting · Dynamics 365 · ERP · Computer Science · Dynamics,https://wuzzuf.net/jobs/p/p9U3A9KTG51i-Microsoft-Dynamics-AX365-Finance-and-Project-Accounting-Consultant-Jeddah-Saudi-Arabia
901,E-Commerce Specialist,"['Full Time', 'On-site']",TRUST EGY ,"Downtown, Cairo, Egypt ",Entry Level · 1 - 2 Yrs of Exp · Operations/Management · Marketing/PR/Advertising · Media/Journalism/Publishing · E-Commerce · E.commerce · Commerce · Marketing · E-Marketing · Digital Marketing · Communication,https://wuzzuf.net/jobs/p/PQ6GJtWNRTMW-E-Commerce-Specialist-TRUST-EGY-Cairo-Egypt
902,Branch Manager,"['Full Time', 'On-site']",Confidential ,"Nasr City, Cairo, Egypt ",Manager · 5 - 7 Yrs of Exp · Operations/Management · Sales/Retail · Branch · Branch Management · Administration · Business Administration · Communication · Communication skills · Customer Service · Education,https://wuzzuf.net/jobs/p/m8NFxcJ8KZvO-Branch-Manager-Cairo-Egypt
903,Warehouse Management System Specialist,"['Full Time', 'On-site']",FRIDAL ,"6th of October, Giza, Egypt ",Experienced · 2 - 3 Yrs of Exp · Logistics/Supply Chain · Supply Chain · inventory · Warehouse · Warehouse Management,https://wuzzuf.net/jobs/p/0H7UpjmmvGo3-Warehouse-Management-System-Specialist-FRIDAL-Giza-Egypt
904,Facility Site Manager (Banking Background),"['Full Time', 'On-site']",Leeds ,"Sheikh Zayed, Giza, Egypt ",Manager · 7+ Yrs of Exp · Project/Program Management · Engineering - Mechanical/Electrical · Project Management · Electrical Engineering · Mechanical Engineering · Engineering · Facility Management · Facility · Mechanical · Communication,https://wuzzuf.net/jobs/p/qZQ3YyO2i6xz-Facility-Site-Manager-Banking-Background-Leeds-Giza-Egypt
905,Quality Engineer – Home Furniture,"['Full Time', 'On-site']",Elbadry Home Furniture ,"Abu Rawash, Giza, Egypt ",Experienced · 5 - 7 Yrs of Exp · Engineering - Construction/Civil/Architecture · Hospitality/Hotels/Food Services · Manufacturing/Production · Quality Engineering · Furniture · Manufacturing · Engineering · Quality Management · Quality Assurance · Communication,https://wuzzuf.net/jobs/p/K5BKA6DvqkgP-Quality-Engineer-–-Home-Furniture-Elbadry-Home-Furniture-Giza-Egypt
906,Document Management Specialist,"['Full Time', 'On-site']",Egyptian Company for Cosmetics ,"Nasr City, Cairo, Egypt ",Entry Level · 1+ Yrs of Exp · Administration · Marketing/PR/Advertising · Sales/Retail · Document · document controller · Document Management · Microsoft Office · Typing,https://wuzzuf.net/jobs/p/lSqV92hnDeQi-Document-Management-Specialist-Egyptian-Company-for-Cosmetics-Cairo-Egypt
907,Inside Sales Manager,"['Full Time', 'On-site']",Promech Engineering ,"Maadi, Cairo, Egypt ",Experienced · 4 - 5 Yrs of Exp · Sales/Retail · English · sales skills · Sales · CRM · Customer Service · Communication,https://wuzzuf.net/jobs/p/glA0rUYndTn5-Inside-Sales-Manager-Promech-Engineering-Cairo-Egypt
908,Talent Acquisition Specialist,"['Full Time', 'On-site']",Orchidia Pharmaceutical Industries ,"Obour City, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · Human Resources · Human Resources (HR) · Recruitment · Talent Acquisition · Interviewing · Computer Skills · English · Business Administration · Human Resources · Administration,https://wuzzuf.net/jobs/p/HSKKuJhzMhfE-Talent-Acquisition-Specialist-Orchidia-Pharmaceutical-Industries-Cairo-Egypt
909,Technical Support Engineer (Storage / Office / Linux / Backup / Networking / Vmware),"['Full Time', 'Hybrid']",RISEUP (Endemag for Administrative Skills Development) ,"New Cairo, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · Customer Service/Support · IT/Software Development · Engineering - Telecom/Technology · Customer support engineer · Technical Support · Helpdesk support · Support · IT · technical,https://wuzzuf.net/jobs/p/Xlkivge3n0dh-Technical-Support-Engineer-Storage-Office-Linux-Backup-Networking-Vmware-RISEUP-Endemag-for-Administrative-Skills-Development-Cairo-Egypt
910,Finance Manager,"['Full Time', 'On-site']",Confidential ,"New Cairo, Cairo, Egypt ",Senior Management · 12 - 15 Yrs of Exp · males_only · Accounting/Finance · Administration · Accounting · Budgeting · Finance · Financial · Financial Management,https://wuzzuf.net/jobs/p/Vw62iV2fK9BI-Finance-Manager-Cairo-Egypt
911,Sales & Marketing Executive,"['Full Time', 'Hybrid']",UTD ,"Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Sales/Retail · Sales · sales skills · Sales Target · Social Media · Communication · CRM · Market Research · Marketing,https://wuzzuf.net/jobs/p/5I0seZ4VX0GL-Sales-Marketing-Executive-UTD-Giza-Egypt
912,Electrical Maintenance Engineer (North Coast - Al Alamein),"['Full Time', 'On-site']",Roya Developments ,"Alamein, Matruh, Egypt ",Experienced · 4 - 12 Yrs of Exp · Installation/Maintenance/Repair · Operations/Management · Engineering - Mechanical/Electrical · Electrical · Electrical Engineer · Electrical Engineering · Maintenance · Facility Management · Property Management · Electrical Maintenance,https://wuzzuf.net/jobs/p/b5oYQgiaLkFr-Electrical-Maintenance-Engineer-North-Coast---Al-Alamein-Roya-Developments-Matruh-Egypt
913,"Electrical Sales Manager “Distribution ""","['Full Time', 'On-site']",Prime Group  ,"Nasr City, Cairo, Egypt ",Manager · 7 - 15 Yrs of Exp · Sales/Retail · Engineering - Mechanical/Electrical · Engineering · Construction · Electrical,https://wuzzuf.net/jobs/p/wbqjiFj77AON-Electrical-Sales-Manager-“Distribution-Prime-Group-Cairo-Egypt
914,Health and Safety Site Auditor,"['Full Time', 'On-site']",LSE  ,"Nasr City, Cairo, Egypt ",Experienced · 2 - 4 Yrs of Exp · males_preferred · Quality · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · HSE · IOSH · OSHA · quality · Environment · Safety · Quality Control,https://wuzzuf.net/jobs/p/7Ocfni5r2Vsk-Health-and-Safety-Site-Auditor-LSE-Cairo-Egypt
915,Sales and Business Development Manager,"['Full Time', 'On-site']",Confidential ,"Cairo, Egypt ",Manager · 6 - 20 Yrs of Exp · Tourism/Travel · English · Management · Sales · sales skills · Sales Target · Marketing · Business Development · Communication,https://wuzzuf.net/jobs/p/cwcpykYXjngn-Sales-and-Business-Development-Manager-Cairo-Egypt
916,Onground Marketing Coordinator,"['Full Time', 'On-site']",Modad properties ,"New Cairo, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · Marketing/PR/Advertising · Marketing · E-Marketing,https://wuzzuf.net/jobs/p/09dGYVORp3JW-Onground-Marketing-Coordinator-Modad-properties-Cairo-Egypt
917,IT Manager,"['Full Time', 'On-site']",Confidential ,"6th of October, Giza, Egypt ",Manager · 10 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · IT · computer · Computer Engineering · Networks · Project Management · Software,https://wuzzuf.net/jobs/p/cJfagLssXTxY-IT-Manager-Giza-Egypt
918,HR Business Partner,"['Full Time', 'On-site']",Haier Electric Egypt  ,"10th of Ramadan City, Sharqia, Egypt ",Experienced · 3 - 5 Yrs of Exp · Human Resources · HR Business · Recruitment · HR,https://wuzzuf.net/jobs/p/Qd63kS5oUAmv-HR-Business-Partner-Haier-Electric-Egypt-Sharqia-Egypt
919,"Branch Sales Supervisor (outdoor)- sharkia, Egypt","['Full Time', 'On-site']",Egyptian Abrasives Co. ,"Zagazig, Sharqia, Egypt ",Manager · 3+ Yrs of Exp · Operations/Management · Sales/Retail · Sales · sales skills · Sales Target · Outdoor Sales · Communication skills · Leadership,https://wuzzuf.net/jobs/p/e2xP48qZG7T1-Branch-Sales-Supervisor-outdoor--sharkia-Egypt-Egyptian-Abrasives-Co-Sharqia-Egypt
920,Electrical technical office engineer,"['Full Time', 'On-site']",Sinoma-cdi ,"New Cairo, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · Engineering - Mechanical/Electrical · AutoCAD · Electrical Engineering,https://wuzzuf.net/jobs/p/Q29RS2jLSfem-Electrical-technical-office-engineer-Sinoma-cdi-Cairo-Egypt
921,Senior Digital Marketing Specialist,"['Full Time', 'Remote']",SAMH Platform   ,"Riyadh, Saudi Arabia ",Experienced · 2 - 5 Yrs of Exp · Writing/Editorial · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital · Digital Marketing · E-Marketing · Google Adwords · Google Analytics · Marketing · SEO,https://wuzzuf.net/jobs/p/fW7IkG4iAbwQ-Senior-Digital-Marketing-Specialist-SAMH-Platform-Riyadh-Saudi-Arabia
922,Sr. Purchasing Specialist,"['Full Time', 'On-site']",Abela Egypt ,"Agouza, Giza, Egypt ",Experienced · 5 - 8 Yrs of Exp · Hospitality/Hotels/Food Services · Logistics/Supply Chain · Purchasing/Procurement · Negotiation · Purchasing · ERP · Logistics · Procurement · Supply Chain,https://wuzzuf.net/jobs/p/H0uaViA7LBWc-Sr-Purchasing-Specialist-Abela-Egypt-Giza-Egypt
923,Senior Media Buyer,"['Full Time', 'On-site']",Dimofinf Operations Center ,"Nasr City, Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Media/Journalism/Publishing · Digital Marketing · Ads · campaigns · Media Buying · digital marketing · Google Ads · SEO,https://wuzzuf.net/jobs/p/zUEtGj2i8pRJ-Senior-Media-Buyer-Dimofinf-Operations-Center-Cairo-Egypt
924,Customer Service (Screening Images Service),"['Full Time', 'Shift Based', 'On-site']",Procrew ,"San Stefano, Alexandria, Egypt ",Entry Level · 1 - 2 Yrs of Exp · Administration · Customer Service/Support · Service · Customer Service · Customer Support · Customer Care · English · Support · Customer,https://wuzzuf.net/jobs/p/umTeHA0c8yLu-Customer-Service-Screening-Images-Service-Procrew-Alexandria-Egypt
